materials-id,composition,target
587,Pm1 Cr1 O3,TRUE
588,Rb1 Ta1 O3,FALSE
589,Ba2 Bi1 Sb1 O6,TRUE
590,Ba2 Ta1 Bi1 O6,TRUE
591,Ba2 Cr1 Mo1 O6,TRUE
592,Ba2 Dy1 Mo1 O6,TRUE
593,Ba2 Ta1 Ga1 O6,TRUE
594,Ba2 Mg1 W1 O6,TRUE
595,Ba2 Sb1 Rh1 O6,FALSE
596,Ba2 Ta1 Tl1 O6,TRUE
597,Ba2 Tm1 Ir1 O6,TRUE
598,Ba2 Zn1 Mo1 O6,TRUE
599,Ba2 Yb1 V1 O6,TRUE
600,La2 Tm1 Ni1 O6,TRUE
601,Nd2 Ho1 Pt1 O6,FALSE
602,Nd2 Er1 As1 O6,FALSE
603,Ba2 Yb1 Au1 O6,TRUE
604,Ba2 Ho1 Pt1 O6,TRUE
605,Sm2 Er1 Pt1 O6,FALSE
606,Ba2 Ca1 Os1 O6,TRUE
607,Tb1 Y2 V1 O6,TRUE
608,Dy2 Lu1 Nb1 O6,FALSE
609,La2 Nd1 W1 O6,TRUE
610,Ba2 Tm1 Se1 O6,FALSE
611,La2 Tb1 V1 O6,TRUE
612,Ba2 Nd1 Ir1 O6,TRUE
613,Ba2 Tb1 Au1 O6,TRUE
614,Ba2 Lu1 Mo1 O6,TRUE
615,Ca2 Ga1 Au1 O6,FALSE
616,Ba2 Eu1 Se1 O6,FALSE
617,Ba2 Tm1 As1 O6,FALSE
618,Nd2 Tm1 As1 O6,FALSE
619,Ba2 Tm1 Rh1 O6,TRUE
620,Ba2 Sm1 Se1 O6,FALSE
621,Ba2 Ga1 I1 O6,FALSE
622,Ba2 Lu1 Ru1 O6,TRUE
623,Ba2 Dy1 Au1 O6,TRUE
624,Ba2 Y1 Os1 O6,TRUE
625,Ba2 Eu1 Ir1 O6,TRUE
626,Ba2 Y1 Ir1 O6,TRUE
627,Nd2 Lu1 Pt1 O6,FALSE
628,Ba2 Lu1 Pt1 O6,TRUE
629,Ba2 Ho1 Au1 O6,TRUE
630,Nd2 Lu1 Ru1 O6,FALSE
631,Ba2 Pm1 Os1 O6,TRUE
632,Ba2 Gd1 Os1 O6,TRUE
633,Ba2 Pm1 Ir1 O6,TRUE
634,Ba2 Er1 Au1 O6,TRUE
635,Ba2 Dy1 Se1 O6,FALSE
636,Nd2 Lu1 Rh1 O6,FALSE
637,Ba2 Lu1 Nb1 O6,TRUE
638,Tb1 Pr2 V1 O6,TRUE
639,Ba2 Lu1 Tc1 O6,TRUE
640,Ba2 Lu1 Rh1 O6,TRUE
641,Ba2 Tm1 V1 O6,TRUE
642,Ba2 V1 Se1 O6,TRUE
643,Ba2 Tm1 Ru1 O6,TRUE
644,Ga1 Sb1 Pd2 O6,FALSE
645,Ba2 Dy1 Ir1 O6,TRUE
646,Ba2 Eu1 Au1 O6,TRUE
647,La2 Tm1 Mn1 O6,TRUE
648,Dy2 Ho1 Pt1 O6,FALSE
649,Ca1 Pm2 V1 O6,TRUE
650,Ba2 Lu1 W1 O6,TRUE
651,La2 Dy1 Ni1 O6,TRUE
652,Dy2 Lu1 Ta1 O6,FALSE
653,Ba2 Sr1 Os1 O6,TRUE
654,Sm2 Lu1 Pt1 O6,FALSE
655,Ba2 Lu1 Re1 O6,TRUE
656,Ba2 La1 Ir1 O6,TRUE
657,Ba2 La1 Os1 O6,TRUE
658,Ba2 Ga1 Sb1 O6,TRUE
659,K2 Y1 Os1 O6,TRUE
660,Ba2 Lu1 Ir1 O6,TRUE
661,Ba2 Lu1 Os1 O6,TRUE
662,Sm2 Ho1 Pt1 O6,FALSE
663,Ba2 Er1 Pt1 O6,TRUE
664,La2 Yb1 Co1 O6,TRUE
665,Nd2 Ho1 As1 O6,FALSE
666,Nd2 Er1 Pt1 O6,FALSE
667,Ba2 Tb1 Os1 O6,TRUE
668,Ba2 Gd1 V1 O6,TRUE
669,Ca2 Tm1 V1 O6,TRUE
670,Ba2 Ca1 Se1 O6,TRUE
671,Ba2 La1 Au1 O6,TRUE
672,Ca2 Ho1 V1 O6,TRUE
673,Ba2 Er1 Nb1 O6,TRUE
674,Ba2 Lu1 Au1 O6,TRUE
675,Ba2 Y1 Nb1 O6,TRUE
676,Ba2 Dy1 V1 O6,TRUE
677,Ba2 Er1 V1 O6,TRUE
678,Ba2 Pm1 Au1 O6,TRUE
679,Ba2 Gd1 Au1 O6,TRUE
680,Ba2 Tm1 Nb1 O6,TRUE
681,Ba2 Sc1 Au1 O6,TRUE
682,Ca2 Tb1 V1 O6,TRUE
683,Ba2 Pr1 Au1 O6,TRUE
684,Ba2 Ho1 V1 O6,TRUE
685,Ba2 Sr1 Se1 O6,TRUE
686,Ba2 Y1 V1 O6,TRUE
687,Ca2 Dy1 V1 O6,TRUE
688,Ba2 Y1 Au1 O6,TRUE
